TraitID,Trait,ObsNum,ObsGRNum,AccSpecNum
3124,Aboveground woody biomass per ground area,25,25,1
2137,Absorptive fine root 12 phenol content per absorptive fine root C content,21,21,1
2120,Absorptive fine root acid hydrolyzable extractives per absorptive fine root dry mass,105,105,35
2054,Absorptive fine root arsenic (As) content per absorptive fine root dry mass,18,18,6
2123,Absorptive fine root bound phenol content per absorptive fine root C content,21,21,1
2098,Absorptive fine root branching intensity by length: number of root tips devided by total absorptive ,204,204,182
2097,Absorptive fine root branching intensity: number of absorptive fine roots per higher order absorptiv,165,165,109
2055,Absorptive fine root cadmium (Cd) content per absorptive fine root dry mass,18,18,6
2056,Absorptive fine root calcium (Ca) content per absorptive fine root dry mass,82,82,82
2134,Absorptive fine root carbon (C) content not hydrolyzable in acid extractives per absorptive fine roo,26,26,20
2039,Absorptive fine root carbon (C) content per absorptive fine root dry mass,302,280,153
2273,Absorptive fine root carbon content per ground area,27,27,3
2272,Absorptive fine root carbon content per soil dry mass,3,3,1
2057,Absorptive fine root carbon/nitrogen (C/N) ratio,366,344,202
2108,Absorptive fine root cellulose carbon (C) per absorptive fine root carbon (C) content,3,3,1
2058,Absorptive fine root chromium (Cr) content per absorptive fine root dry mass,18,18,6
2124,Absorptive fine root cinnamyl phenol content per absorptive fine root C content,3,3,1
2117,Absorptive fine root Cl- ion content per absorptive fine root dry mass,6,6,1
2227,Absorptive fine root color,8,8,4
2093,Absorptive fine root conduit cell wall thickness,15,15,5
2086,Absorptive fine root conduit density: number of conduits per stele cross-section area,15,15,5
2089,Absorptive fine root conduit diameter,21,21,6
2059,Absorptive fine root copper (Cu) content per absorptive fine root dry mass,18,18,6
2075,Absorptive fine root cortex thickness,138,132,104
2287,Absorptive fine root debris decomposition rate constant ,8,8,8
2165,Absorptive fine root decomposition: fraction of absorptive fine root dry mass not decomposed to orig,108,108,16
2038,Absorptive fine root diameter,1093,975,282
2263,Absorptive fine root dry mass fraction in respective root order,63,63,16
2133,Absorptive fine root dry mass not hydrolyzable in acid extractives per absorptive fine root dry mass,105,105,35
2051,Absorptive fine root dry mass per ground area,251,227,22
2135,Absorptive fine root dry mass soluble in nonpolar extractives per absorptive fine root dry mass,105,105,35
2138,Absorptive fine root dry mass soluble in polar extractives per absorptive fine root dry mass,105,105,35
2210,Absorptive fine root dry mass turnover,16,16,2
2211,Absorptive fine root dry mass turnover rate,2,2,1
2076,Absorptive fine root exodermal wall thickness,18,8,6
2077,Absorptive fine root exodermis passage cell frequency per length of absorptive fine root circumferen,18,8,6
2101,Absorptive fine root fractal dimension,34,34,34
2126,Absorptive fine root free phenols content per absorptive fine root C content,21,21,1
2188,Absorptive fine root growth: absorptive fine root dry mass production per ground area per year,3,3,1
2194,Absorptive fine root growth: absorptive fine root elongation,55,55,1
2204,Absorptive fine root growth: absorptive fine root length recovery from pruning,60,60,15
2193,Absorptive fine root growth: fraction of absorptive fine root number that has elongated since last m,58,58,1
2060,Absorptive fine root iron (Fe) content per absorptive fine root dry mass,18,18,18
2061,Absorptive fine root lead (Pb) content per absorptive fine root dry mass,18,18,6
2280,Absorptive fine root length density (RLD): absorptive fine root length per ground area,38,38,3
2265,Absorptive fine root length fraction in respective root order,121,121,8
2062,Absorptive fine root length per absorptive fine root dry mass (specific absorptive fine root length,670,664,292
2281,Absorptive fine root length per soil volume,24,24,6
2230,Absorptive fine root length: distance from absorptive fine root base to tip,307,301,143
2171,Absorptive fine root lifespan: fraction of absorptive fine roots that survive over the course of a g,16,16,2
2129,Absorptive fine root lignin carbon (C) content per absorptive fine root carbon (C) content,3,3,1
2128,Absorptive fine root lignin phenol content per absorptive fine root C content,21,21,1
2288,Absorptive fine root lignin phenol vegetation index,3,3,1
2102,Absorptive fine root link length (segments between two nodes or a node and a tip),34,34,34
2063,Absorptive fine root magnesium (Mg) content per absorptive fine root dry mass,70,70,70
2071,Absorptive fine root manganese (Mn) content per absorptive fine root dry mass,18,18,18
2176,Absorptive fine root mortality: absorptive fine root dry mass mortality per ground area and time,6,6,1
2064,Absorptive fine root nickel (Ni) content per absorptive fine root dry mass,18,18,6
2035,Absorptive fine root nitrogen (N) content per absorptive fine root dry mass,743,616,280
2113,Absorptive fine root nitrogen (N) content per absorptive fine root length,34,34,34
2036,Absorptive fine root nitrogen (N) isotope signature (delta 15N),9,9,1
2276,Absorptive fine root nitrogen (N) per soil dry mass,28,28,26
2136,Absorptive fine root p-hydroxy phenol content per absorptive fine root C content,3,3,1
2094,Absorptive fine root passage cell number in exodermis per absorptive fine root circumference,18,8,6
2065,Absorptive fine root persistence (lifespan; longevity),155,123,60
2073,Absorptive fine root phenolics content per absorptive fine root dry mass,25,25,25
2049,Absorptive fine root phosphorus (P) content per absorptive fine root dry mass,148,126,76
2248,Absorptive fine root phosphorus (P) uptake rate per absorptive fine root surface area,18,18,6
2066,Absorptive fine root potassium (K) content per absorptive fine root dry mass,74,74,67
2151,Absorptive fine root ratio of 3;5-dihydroxybenzoic acid groups to vanillyl phenols,3,3,1
2152,Absorptive fine root ratio of mass of non-acid hydrolysable compounds to mass of nitrogen,105,105,35
2149,Absorptive fine root ratio of number of acid groups to number of aldehyde groups in syringyl phenols,3,3,1
2150,Absorptive fine root ratio of number of acid groups to number of aldehyde groups in vanillyl phenols,3,3,1
2153,Absorptive fine root ratio of of cinnamyl phenol to vanillyl phenol,3,3,1
2157,Absorptive fine root ratio of of syringyl phenol to vanillyl phenol,3,3,1
2158,Absorptive fine root ratio of vanillyl phenol to lignin phenol,3,3,1
2047,Absorptive fine root respiration rate per absorptive fine root dry mass,281,176,75
2253,Absorptive fine root respiration rate per absorptive fine root length,36,36,36
2033,Absorptive fine root rooting depth,40,40,16
2118,Absorptive fine root sodium (Na+) ion content per absorptive fine root dry mass,6,6,1
2081,Absorptive fine root stele diameter,138,132,104
2080,Absorptive fine root stele fraction: stele diameter divided by absorptive fine root diameter,129,96,108
2068,Absorptive fine root sulfur (S) content per absorptive fine root dry mass,18,18,18
2266,Absorptive fine root surface area fraction in respective root order,27,27,7
2069,Absorptive fine root surface area per absorptive fine root dry mass (specific absorptive fine root a,147,147,46
2142,Absorptive fine root syringyl phenol content per absorptive fine root C content,3,3,1
2037,Absorptive fine root tissue density (absorptive fine root dry mass per absorptive fine root volume),484,484,233
2048,Absorptive fine root total non-structural carbon (TNC) content per absorptive fine root dry mass,46,24,14
2214,Absorptive fine root turnover rate during growing season,16,16,2
2144,Absorptive fine root vanillyl phenol content per absorptive fine root C content,3,3,1
2044,Absorptive fine root vessel diameter,99,99,97
2087,Absorptive fine root xylem vessel density in stele: number of xylem vessels per square millimeter of,101,101,97
2070,Absorptive fine root zinc (Zn) content per absorptive fine root dry mass,36,36,24
2957,Bark calcium (Ca) content per bark dry mass,30,30,5
617,Bark carbon (C) content per bark dry mass,476,452,43
829,Bark carbon (C) isotope signature (delta 13C),13,13,1
830,Bark carbon/nitrogen (C/N) ratio,13,13,1
2958,Bark copper (Cu) content per bark dry mass,30,30,5
831,Bark crystal types,3593,2747,1644
248,Bark density,737,737,274
2959,Bark iron (Fe) content per bark dry mass,30,30,5
2961,Bark magnesium (Mg) content per bark dry mass,30,30,5
2962,Bark manganese (Mn) content per bark dry mass,30,30,5
618,Bark nitrogen (N) content per bark dry mass,481,481,33
832,Bark nitrogen (N) isotope signature (delta 15N),13,13,1
833,Bark persistence (chunk deciduous yes/no) ,1485,1485,453
619,Bark phosphorus (P) content per bark dry mass,455,455,31
2960,Bark potassium (K) content per bark dry mass,30,30,5
834,Bark sclereids arrangement,3874,3010,1844
835,Bark secondary compounds presence: oil; tannins; latex; slime,2079,1541,1050
836,Bark sieve tubes grouping,4495,3499,2598
837,Bark structure ,4709,3720,2603
2963,Bark sulfur (S) content per bark dry mass,30,30,5
838,Bark surface structure ,2077,36,1628
24,Bark thickness,8778,8220,894
839,Bark thickness per stem diameter,372,372,14
2964,Bark zinc (Zn) content per bark dry mass,30,30,5
2632,Belowground plant organ acid hydrolyzable extractives per belowground plant organ dry mass,5,5,5
2568,Belowground plant organ calcium (Ca) content per belowground plant organ dry mass,2,0,1
2551,Belowground plant organ carbon (C) content per belowground plant organ dry mass,37,37,27
2569,Belowground plant organ carbon/nitrogen (C/N) ratio,37,37,27
2623,Belowground plant organ cellulose and hemicellulose content per belowground plant organ dry mass,5,5,5
2553,Belowground plant organ cellulose content per belowground plant organ dry mass,32,32,22
2624,Belowground plant organ construction cost per belowground plant organ dry mass,9,9,9
2799,Belowground plant organ debris decomposition rate constant ,5,5,5
2550,Belowground plant organ diameter,9,9,9
2562,Belowground plant organ dry mass per belowground plant organ fresh mass (belowground plant organ dry,9,9,9
2563,Belowground plant organ dry mass per ground area,157,154,40
2555,Belowground plant organ dry mass per plant,9,9,9
2644,Belowground plant organ dry mass soluble in neutral solution per belowground plant organ dry mass,5,5,5
2647,Belowground plant organ dry mass soluble in nonpolar extractives per belowground plant organ dry mas,10,10,10
2771,Belowground plant organ dry mass to leaf dry mass ratio,51,51,23
2723,Belowground plant organ dry mass turnover rate,64,64,16
2700,Belowground plant organ growth: belowground plant organ dry mass production per ground area per year,5,5,5
2717,Belowground plant organ growth: fraction of belowground plant organ s recovering from pruning,6,6,6
2622,Belowground plant organ hemicellulose content per belowground plant organ dry mass,32,32,22
2572,Belowground plant organ iron (Fe) content per belowground plant organ dry mass,2,0,1
2574,Belowground plant organ length per belowground plant organ dry mass (specific belowground plant orga,108,108,58
2552,Belowground plant organ lignin content per belowground plant organ dry mass,42,42,32
2575,Belowground plant organ magnesium (Mg) content per belowground plant organ dry mass,2,0,1
2773,Belowground plant organ mass fraction (fraction of belowground plant organ dry mass to whole plant d,112,112,45
2564,Belowground plant organ morphological adaptations: aerenchym,3,3,3
2547,Belowground plant organ nitrogen (N) content per belowground plant organ dry mass,147,145,87
2557,Belowground plant organ nitrogen (N) uptake rate,8,8,1
2577,Belowground plant organ persistence (lifespan; longevity),15,15,10
2585,Belowground plant organ phenolics content per belowground plant organ dry mass,5,5,5
2561,Belowground plant organ phosphorus (P) content per belowground plant organ dry mass,16,14,14
2651,Belowground plant organ polyphenol content per belowground plant organ dry mass,5,5,5
2578,Belowground plant organ potassium (K) content per belowground plant organ dry mass,2,0,1
2666,Belowground plant organ ratio of lignin to nitrogen (N),5,5,5
2559,Belowground plant organ respiration rate per belowground plant organ dry mass,77,77,35
2545,Belowground plant organ rooting depth,39,39,19
2658,Belowground plant organ water soluble compounds per belowground plant organ dry mass,32,32,22
2659,Belowground plant organ water soluble sugar content per belowground plant organ dry mass,5,5,5
2546,Belowground plant organ/shoot ratio,228,225,63
2980,Branch annual growth,99,0,1
