Name,ScientificName,PlantPartHarvested,CropCategory,AvMoisture,AvN,AvP,AvK
Plants,,,,,,,    
Vegetable,,,Plants,,,,
Forage,,,Plants,,,,
Fiber and miscellaneous,,,Plants,,,,
Tree and fruit,,,Plants,,,,
Cereal and oil,,,Plants,,,,
Laitue romaine,Lactuca sativa var. longifolia,Head,Vegetable,94.00,4.27,0.75,6.67
Betterave commune,Beta vulgaris,Crown and aboveground biomass,Fiber and miscellaneous,83.03,2.43,0.23,5.79
Radis chinois,Raphanus sativus,Root,Vegetable,94.00,2.93,0.47,4.67
Laitue,Lactuca sativa,Head,Vegetable,94.80,3.81,0.48,4.52
Rhubarbe,Rheum rhabarbarum,Fruit,Vegetable,93.61,2.25,0.22,4.51
Tomate,Solanum lycopersicum var. lycopersicum,Fruit,Vegetable,94.00,2.56,0.47,4.28
Pomme de terre, Solanum tuberosum,Aboveground biomass,Vegetable,48.90,2.24,0.20,3.95
Taro,Colocasia esculenta,Corm,Vegetable,82.00,1.78,0.33,3.94
Chou-rave, Brassica oleracea var. gongylodes,Stem,Vegetable,91.00,3.02,0.51,3.89
Tabac,Nicotiana tabacum,Stalk and leaf,Fiber and miscellaneous,25.00,4.00,0.31,3.86
Citrouille,Cucurbita pepo,Fruit,Vegetable,86.00,0.91,0.26,3.71
Potiron,Cucurbita maxima,Fruit,Vegetable,91.00,3.56,0.42,3.67
Brocoli,Brassica oleracea var. italica,Stem and floral parts,Vegetable,89.70,5.65,0.75,3.55
Luzerne,Medicago sativa,Aboveground biomass,Forage,13.00,3.22,0.37,3.39
Chou de Bruxelle,Brassica oleracea var.gemmifera,Bud,Vegetable,86.60,4.98,0.51,3.25
Chou-fleur,Brassica oleracea var. botrytis,Inflorescence,Vegetable,90.88,4.43,0.66,3.22
Chou,Brassica oleracea,Head (terminal bud and leaves),Vegetable,91.70,3.03,0.38,3.16
Trefle incarnat,Trifolium incarnatum,Aboveground biomass,Forage,80.78,2.74,0.28,3.10
Navet, Brassica rapa var. rapa,Aboveground biomass,Forage,86.53,3.30,0.42,3.02
Lotier cornicule,Lotus corniculatus,Aboveground biomass,Forage,78.00,2.63,0.27,2.98
Canne à sucre,Saccharum sp.,Leaf,Fiber and miscellaneous,73.83,0.87,0.24,2.96
Panic erige,Panicum virgatum,Aboveground biomass,Forage,67.27,1.64,0.22,2.85
Oignon, Allium cepa,Leaf,Vegetable,92.00,4.00,0.38,2.75
Haricot,Phaseolus sp.,Seed,Vegetable,11.40,4.22,0.54,2.69
Courge musquee,Cucurbita moschata,Fruit,Vegetable,85.00,1.07,0.22,2.67
Herbe grama,Tripsacum dactyloides,Aboveground biomass,Forage,10.85,1.69,0.40,2.64
Piment,Capsicum annuum var. annuum,Fruit,Vegetable,84.00,2.00,0.28,2.63
Sorgho du Soudan,Sorghum bicolor ssp. drummondii,Aboveground biomass,Forage,77.00,1.64,0.21,2.61
Trefle hybride,Trifolium hybridum,Aboveground biomass,Forage,75.87,2.50,0.26,2.58
Melon,Cucumis melo,Fruit,Tree and fruit,88.33,0.91,0.16,2.58
Carotte,Daucus carota ssp. sativus,Root,Vegetable,88.00,1.51,0.33,2.43
Avoine,Avena sativa,Aboveground biomass,Forage,14.20,1.47,0.35,2.41
Gombo,Abelmoschus esculentus,Fruit,Vegetable,88.00,2.67,0.53,2.33
Avocatier,Persea americana,Fruit,Tree and fruit,72.56,1.23,0.15,2.31
Papayer,Carica papaya,Fruit,Tree and fruit,88.83,0.87,0.04,2.30
Prunier,Carissa macrocarpa,Fruit,Tree and fruit,84.17,0.51,0.04,1.64
Pamplemoussier,Citrus X paradisi,Fruit,Tree and fruit,91.38,1.02,0.10,1.50
Arachide,Arachis hypogaea,Aboveground biomass,Forage,10.83,1.92,0.16,1.38
